,Formatted_Date,Date,Title,Explanation,Link
4,07 April 1922,April 7,1922 Picardie mid-air collision,"In the Picardie mid-air collision, a De Havilland DH.18A, G-EAWO, operated by Daimler Hire Ltd., collided with a Farman F.60 Goliath, F-GEAD, operated by Compagnie des Grands Express Aériens (CGEA), over the Thieulloy-St. Antoine road near Picardie, France, killing all seven people on both aircraft. This is the first mid-air collision of two airliners.",https://en.wikipedia.org/wiki/1922_Picardie_mid-air_collision
1011,07 December 1995,December 7,1995 Air St. Martin Beech 1900 crash,"In the 1995 Air St. Martin Beech 1900 crash, a Beechcraft 1900D crashes near Belle-Anse, Haiti, killing all 20 people on board.",https://en.wikipedia.org/wiki/1995_Air_St._Martin_Beech_1900_crash
1291,07 February 2009,February 7,2009 Manaus Aerotáxi crash,"A Manaus Aerotáxi Embraer EMB 110 crashes in the Amazon basin near Santo António, Brazil, due to overloading, killing 24 of the 28 people on board.",https://en.wikipedia.org/wiki/2009_Manaus_Aerot%C3%A1xi_crash
1400,07 July 2013,July 7,2013 Rediske Air Otter crash,"A Rediske Air DHC-3 crashed on takeoff from Soldotna Airport, Alaska, killing all 10 people on board.",https://en.wikipedia.org/wiki/2013_Rediske_Air_Otter_crash
120,07 June 1949,June 7,1949 Strato-Freight Curtiss C-46A crash,"In the 1949 Strato-Freight Curtiss C-46A crash, a Curtiss Wright C-46A-50 Modified D, crashed into the Atlantic Ocean shortly after takeoff from San Juan, Puerto Rico. Of the 81 passengers and crew on board, 53 are killed.",https://en.wikipedia.org/wiki/1949_Strato-Freight_Curtiss_C-46A_crash
635,07 May 1977,May 7,1977 Tavda mid-air collision,"Two Aeroflot Antonov An-2s collided near Tavda, Russia, killing all 29 people on board both aircraft.",https://en.wikipedia.org/wiki/1977_Tavda_mid-air_collision
296,07 October 1961,October 7,1961 Derby Aviation crash,"In the 1961 Derby Aviation crash, a Douglas Dakota, crashed into Canigou mountainside en route to Perpignan from London due to a navigation error, killing all 34 aboard.",https://en.wikipedia.org/wiki/1961_Derby_Aviation_crash
1369,07 September 2011,September 7,2011 Lokomotiv Yaroslavl plane crash,"A Yak-Service Yakovlev Yak-42 crashed shortly after takeoff from Tunoshna Airport, Yaroslavl, Russia, due to pilot error, killing 44 of the 45 people on board. Many were players and staff of the Lokomotiv Yaroslavl ice hockey team of the KHL, as the flight was destined for Minsk, Belarus for a league game.",https://en.wikipedia.org/wiki/2011_Lokomotiv_Yaroslavl_plane_crash
414,08 December 1967,December 8,1967 Cordillera Carpish Faucett Perú Douglas C-54 crash,"A Faucett Perú Douglas C-54 crashed into a mountain near Cordillera de Carpish, Peru, killing all 72 on board.",https://en.wikipedia.org/wiki/1967_Cordillera_Carpish_Faucett_Per%C3%BA_Douglas_C-54_crash
839,08 December 1987,December 8,1987 Alianza Lima plane crash,"In the 1987 Alianza Lima plane crash, a chartered Peruvian Navy Fokker F-27, crashes into the Pacific Ocean 7 miles (11 km) from Jorge Chávez International Airport, whilst carrying the Peruvian football team Alianza Lima. Of the 44 people on board, only the pilot survive.",https://en.wikipedia.org/wiki/1987_Alianza_Lima_plane_crash
942,08 February 1993,February 8,1993 Tehran mid-air collision,"In the 1993 Tehran mid-air collision, an Iran Air Tours Tupolev Tu-154 collides in mid-air with an Iranian Air Force Sukhoi Su-24, killing all 133 on board both aircraft.",https://en.wikipedia.org/wiki/1993_Tehran_mid-air_collision
1172,08 January 1900,January 8,Air Midwest Flight 5481,"Air Midwest Flight 5481, a Beechcraft 1900, crashes on takeoff from Charlotte, North Carolina, United States; all 19 passengers and two pilots are killed.",https://en.wikipedia.org/wiki/Air_Midwest_Flight_5481
1016,08 January 1996,January 8,1996 Air Africa crash,"In the 1996 Air Africa crash, an overloaded Antonov An-32 operated by Moscow Airways aborts takeoff and overruns into a market in Kinshasa, Democratic Republic of the Congo, killing 227 people on the ground.",https://en.wikipedia.org/wiki/1996_Air_Africa_crash
304,08 March 1962,March 8,1962 Taurus Mountains Turkish Airlines F-27 crash,"A Turkish Airlines Fairchild F-27 crashed into the Bolkar Mountains while on approach to Turkey's Adana Airport, killing all 11 on board.",https://en.wikipedia.org/wiki/1962_Taurus_Mountains_Turkish_Airlines_F-27_crash
970,08 March 1994,March 8,1994 Sahara Airlines Boeing 737 crash,"A Sahara Airlines Boeing 737 crashes during a training flight into an Aeroflot Ilyushin Il-86 at New Delhi, India, killing all eight on both aircraft and one on the ground.",https://en.wikipedia.org/wiki/1994_Sahara_Airlines_Boeing_737_crash
1456,08 March 2017,March 8,Ameristar Charters Flight 9363,"Ameristar Charters Flight 9363, an MD-83 chartered to fly the Michigan Wolverines men's basketball team to the 2017 Big Ten Men's Basketball Tournament in Washington, D.C., overruns the runway on takeoff at Willow Run Airport, Ypsilanti, Michigan after suffering a jammed elevator. The aircraft is damaged but all 116 on board survive.",https://en.wikipedia.org/wiki/Ameristar_Charters_Flight_9363
1176,08 May 2003,May 8,2003 Congo air disaster,"In the 2003 Congo air disaster, a Ukrainian Cargo Airways Ilyushin Il-76 suffers a rapid decompression after a cargo door opens mid-flight. The aircraft manages to return to Kinshasa, but not before between 17 and 200 civilians are sucked out to their deaths (casualty numbers vary depending on source).",https://en.wikipedia.org/wiki/2003_Congo_air_disaster
53,08 November 1940,November 8,1940 Deutsche Lufthansa Ju 90 crash,"A Deutsche Lufthansa Ju 90 crashed near Schönteichen in Saxony, Germany due to tail icing, killing all 29 passengers and crew on board.",https://en.wikipedia.org/wiki/1940_Deutsche_Lufthansa_Ju_90_crash
367,08 November 1965,November 8,American Airlines Flight 383 (1965),"American Airlines Flight 383, a Boeing 727, crashed while on approach to Greater Cincinnati airport; of the 62 people on board, one flight attendant and three passengers survive.",https://en.wikipedia.org/wiki/American_Airlines_Flight_383_(1965)
764,08 November 1983,November 8,1983 TAAG Angola Airlines Boeing 737 crash,"TAAG Angola Airlines Flight 462, a Boeing 737-200, crashes shortly after takeoff from Lubango Airport killing all 130 on board die; the cause is disputed: UNITA guerillas claim to have shot the aircraft down while Angolan authorities conclude that the aircraft suffered a mechanical failure.",https://en.wikipedia.org/wiki/1983_TAAG_Angola_Airlines_Boeing_737_crash
583,08 September 1974,September 8,TWA Flight 841 (1974),"TWA Flight 841, a Boeing 707, broke up after a bomb exploded in the cargo hold and plunged into the Ionian Sea, killing all 88 on board.",https://en.wikipedia.org/wiki/TWA_Flight_841_(1974)
1298,09 April 2009,April 9,2009 Aviastar British Aerospace 146 crash,"An Aviastar BAe 146-300 crashes into Pikei Hill during a domestic cargo flight from Jayapura to Wamena, Indonesia, killing all six crew members on board.",https://en.wikipedia.org/wiki/2009_Aviastar_British_Aerospace_146_crash
35,09 December 1936,December 9,1936 KLM Croydon accident,"A KLM Douglas DC-2 crashed on takeoff from Croydon Airport, England; 15 of 17 on board died.",https://en.wikipedia.org/wiki/1936_KLM_Croydon_accident
608,09 February 1976,February 9,Aeroflot Flight 3739 (1976),"Aeroflot Flight 3739, a Tupolev Tu-104, crashed on takeoff from Irkutsk after the aircraft rolled to the right, killing 24 of 114 on board.",https://en.wikipedia.org/wiki/Aeroflot_Flight_3739_(1976)
1242,09 January 2007,January 9,2007 Balad aircraft crash,"An AerianTur-M Antonov An-26 crashes near Balad, Iraq, killing 34 of the 35 people on board. The official cause of the crash is poor weather conditions, but other sources claim that the plane was shot down by a missile.",https://en.wikipedia.org/wiki/2007_Balad_aircraft_crash
1208,09 June 2005,June 9,2005 Logan Airport runway incursion,"In the 2005 Logan Airport runway incursion, US Airways Flight 1170, a Boeing 737, and Aer Lingus Flight 132, an Airbus A330, almost collide on a runway at Logan International Airport in Boston, Massachusetts. None of the 381 people on either plane is harmed.",https://en.wikipedia.org/wiki/2005_Logan_Airport_runway_incursion
1489,09 March 2019,March 9,2019 Colombia DC-3 crash,"A Laser Aéreo Douglas DC-3 crashed while attempting to land at La Vanguardia Airport, Villavicencio, Colombia, killing all 11 passengers and three crew members on board the aircraft.",https://en.wikipedia.org/wiki/2019_Colombia_DC-3_crash
25,09 May 1934,May 9,1934 Air France Wibault 282T crash,"An Air France Wibault 282T crashed into the English Channel off Dungeness, Kent, killing all six on board.",https://en.wikipedia.org/wiki/1934_Air_France_Wibault_282T_crash
1379,09 May 2012,May 9,2012 Mount Salak Sukhoi Superjet crash,"A Sukhoi Superjet 100 crashed, into Mount Salak, Indonesia, on an exhibition flight, killing all 45 passengers and crew on board.",https://en.wikipedia.org/wiki/2012_Mount_Salak_Sukhoi_Superjet_crash
619,09 September 1976,September 9,1976 Anapa mid-air collision,"In the 1976 Anapa mid-air collision, Aeroflot Flight 7957, an Antonov An-24, collided with Aeroflot Flight C-31, a Yakovlev Yak-40, over the Black Sea off Anapa due to ATC and crew errors, killing all 70 on board both aircraft.",https://en.wikipedia.org/wiki/1976_Anapa_mid-air_collision
1476,10 August 2018,August 10,2018 Horizon Air Q400 incident,"In the 2018 Horizon Air Q400 incident, a Horizon Air Bombardier Dash 8 Q400 with no passengers on board, is stolen from Seattle",https://en.wikipedia.org/wiki/2018_Horizon_Air_Q400_incident
30,10 December 1935,December 10,1935 SABENA Savoia-Marchetti S.73 crash,"A SABENA Savoia-Marchetti S.73 crashed near Tatsfield, Surrey, England, due to pilot error, while en route from Brussels Airport, Belgium, to Croydon Airport in South London; all 11 people on board died in the accident.",https://en.wikipedia.org/wiki/1935_SABENA_Savoia-Marchetti_S.73_crash
